Material Type
ABF
CBAU
CH00
CONT
COUP
DIEN
EPA
ERSA
FERT
FGTR
FHMI
FOOD
FRIP
HALB
HAWA
HERS
HIBE
IBAU
INTR
KMAT
LEER
LEIH
LGUT
MODE
MPO
NLAG
NOF1
PIPE
PLAN
PROC
PROD
ROH
UNBW
VERP
VKHM
VOLL
WERB
WERT
WETT
ZANI
ZBFP
ZBJW
ZCAP
ZCC1
ZCC2
ZCRD
ZDFG
ZDSF
ZEHF
ZEVM
ZFIL
ZFRT
ZHLB
ZHPU
ZIND
ZINP
ZIP
ZKIT
ZLAB
ZLBC
ZPHY
ZPRM
ZRCD
ZRDM
ZREC
ZRET
ZSC1
ZSC2
ZSC3
ZSC4
ZSC5
ZSCD
ZSCU
ZSET
ZSOA
ZSRV
ZSTR
ZTST
ZVRP
