Material,Created On,Created By,Last Change,Changed By,Compl. maint. status,Maintenance status,DF at client level,Material Type,Industry,Material Group,Old material number,Base Unit of Measure,Order Unit,Document,Document type,Doc. Version,Page format,Document change no.,Page number,Number of sheets,Prod./insp. memo,Page format.1,Size/dimensions,Basic material,Industry Std Desc.,Lab/Office,Purchasing value key,Gross Weight,Net Weight,Unit of Weight,Volume,Volume Unit,Container reqmts,Storage conditions,Temp. conditions,Low-Level Code,Transportation Group,Haz. material number,Division,Competitor,EAN number,Number of GR slips,Procurement rule,Source of supply,Season,Label type,Label form,Field deactivated,EAN/UPC,EAN Category,Length,Width,Height,Unit of Dimension,Product Hierarchy,Stock Transfer Net Change Costing,CAD Indicator,QM proc. active,Allowed pkg weight,Unit of weight,Allowed pkg volume,Volume unit,Excess wt tolerance,Excess volume tol.,Variable Purchase Order Unit,Revision Level Assgd,Material is configurable,Batch management,Packaging mat. type,Maximum level,Stackability factor,Matl Grp Pack.Matls,Authorization Group,Valid From,Valid to,Season Year,Price Band Category,With empties BOM,Ext. Material Group,Cross-plant CM,Material Category,Co-product,Follow-up material,Pricing Ref. Matl,X-plant matl status,X-distr.chain status,Valid from,Valid from.1,Tax classification,Catalog profile,Min. Rem. Shelf Life,Total shelf life,Storage percentage,Content unit,Net contents,ComparisonPriceUnit,Labeling matl grpg,Gross contents,Conversion Method,Internal object no.,Environmentally rlvt,Product allocation,Pricing profile,Qual.f.FreeGoodsDis.,Manufacturer Part No.,Manufacturer,Int. material number,Mfr Part Profile,Units of meas. usage,Rollout,DG indicator profile,Highly viscous,In bulk/liquid,Serialization level,Closed,Appr.batch rec. req.,Assign effect. vals,Material completion level,Period Ind. for SLED,Rounding rule SLED,Product Composition,Gen. item cat. grp,Logistical variants,Material is locked,Indicator for relevance in CM,Assortment List Type,Expiration Date,EAN Variant,Generic Material,Reference matl for packing,GDS-Relevant,Origin Acceptance,Standard HU Type,Pilferable,WH Storage Condition,WH Material Group,Handling Indicator,Rel. for HS,Handling Unit Type,Varb. Tare Weight,Maximum Capacity,Overcapacity Toler.,Max. Pack. Length,Max. Pack. Width,Max. Pack. Height,Unit of Measurement,Country of origin,Material freight grp,Quarant. Per.,Quarantine Time Unit,Quality Inspection Group,Serial No. Profile,Form Name,Logistics Unit of Measure,Material Is a CW Material,CW Profile for CW Quantity,Catch Weight Tolerance Group,Adjustment Profile (Merchandise Distr.),Intellectual Property,Variant Price Allowed,Medium,Physical Commodity,Cont. Non-Textile Parts of Animal Origin,Textile Composition Maintenance Active,Segmentation Structure,Segmentation Strategy,Segmentation Status,Segmentation Strategy Scope,Segmentation Relevant,ANP Code,Fashion Attribute 1,Fashion Attribute 2,Fashion Attribute 3,Season Usage,Season Active in Inventory Management,Material Conv. ID,Protected Species Management Code,Loading Units,Loading Unit Group,Structure Category,Tolerance Type ID,Counting Group,DSD Grouping,Tilting Allowed,No Stacking,Only Bottom Layer,Only Top Layer,Stacking Factor,Load without PKM,PKM Overhang Depth,PKM Overhang Width,Max. Stacking Height,Min. Stacking Height,Max.StackH Tolerance,No. Mat / Closed PKM,VSO Unit of Measure,Closed PKM Required,Packaging Code,DG Packaging Status,Material Condition Mgmt,Return Code,Return to Logistics Level,NATO Item ID Number,Spare Part Class Code,Form-Fit-Function class,Supersession chain number,Creation Status,Int. Char. Number,Int. Char. Number.1,Int. Char. Number.2,Color,Main Size,Second Size,Free Charact. Value,Care Code,Brand,Component 1,Percentage Share 1,Component 2,Percentage Share 2,Component 3,Percentage Share 3,Component 4,Percentage Share 4,Component 5,Percentage Share 5,Fashion Grade,Serialization Type,Synchronization Active,Last Synchronization Time,Indicator Changed Since Integration,Profile Relevant Country,Product Category,catalog,Strength / Presentation,Grade,Pack Size,Time,Material Description,Material description,Purchase Order Text,Short=Long,Count Short,Count long,Created for/extended to GMP Plant,CAS number (pharm.),Countif CAS,Blocked in Plant level,Blocked in client level,Blocking indicators,dup_group,count
630022831,4/7/2014,BATCH_MM,8/1/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-CHLORO-6-METHYLBENZONITRILE,2-CHLORO-6-METHYLBENZONITRILE,2-chloro-6-methylbenzonitrile,TRUE,1,1,630022831,9/3/6575,1,,,,371,5
630022826,4/7/2014,BATCH_MM,3/18/2023,SREENM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,1,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-AMINO-6-CHLORO BENZONITRILE,2-AMINO-6-CHLORO BENZONITRILE,2-amino-6-chloro benzonitrile,TRUE,1,1,630022826,11/7/6575,1,,,,635,6
630022825,4/7/2014,BATCH_MM,3/18/2023,SREENM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-AMINO-5-METHOXYBENZOIC ACID,2-AMINO-5-METHOXYBENZOIC ACID,2-amino-5-methoxybenzoic acid,TRUE,1,1,630022825,3/9/6705,1,,,,643,6
630002792,4/7/2014,BATCH_MM,8/2/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,1-METHYL-2-OXOPIPERIDINE-4CARBOXYLICACID,1-METHYL-2-OXOPIPERIDINE-4CARBOXYLICACID,1-methyl-2-oxopiperidine-4carboxylicacid,TRUE,1,1,630002792,1000932-09-1,1,,,,311,2
630000580,4/7/2014,BATCH_MM,4/18/2024,SHWSAL,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z2,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,(R)-(+)-2-BROMOPROPIONIC ACID,(R)-(+)-2-BROMOPROPIONIC ACID,(r)-(+)-2-bromopropionic acid,TRUE,1,1,630000580,10009-70-8,1,,,,69,2
630000134,4/7/2014,BATCH_MM,8/1/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,Z2,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,(1-BENZYL-3-PIPERIDINYL)METHANOL,(1-BENZYL-3-PIPERIDINYL)METHANOL,(1-benzyl-3-piperidinyl)methanol,TRUE,1,1,630000134,85387-44-6,1,,,,12,2
630005935,4/7/2014,BATCH_MM,4/10/2023,PRATHVS,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z2,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-CHLORO5-HYDROXYMETHYLPHENYLBORONICACID,2-CHLORO5-HYDROXYMETHYLPHENYLBORONICACID,2-chloro5-hydroxymethylphenylboronicacid,TRUE,1,1,630005935,1003042-59-8,1,,,,806,2
630006609,4/7/2014,BATCH_MM,7/30/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-HYDROXY-3-METHYLPYRIDINE,2-HYDROXY-3-METHYLPYRIDINE,2-hydroxy-3-methylpyridine,TRUE,1,1,630006609,1003-56-1,1,,,,861,2
630004730,4/7/2014,BATCH_MM,7/30/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,"2-AMINO-1,3-THIAZOLE-5-CARBOXALDEHYDE","2-AMINO-1,3-THIAZOLE-5-CARBOXALDEHYDE","2-amino-1,3-thiazole-5-carboxaldehyde",TRUE,1,1,630004730,1003-61-8,1,,,,613,2
630005478,4/7/2014,BATCH_MM,12/22/2022,KULAAR,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,1,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-BROMO-5-FLUORO ANILINE,2-BROMO-5-FLUORO ANILINE,2-bromo-5-fluoro aniline,TRUE,1,1,630005478,1003-99-2,1,,,,705,3
